"job_title_short","job_country","yearly_salary"
"Data Analyst","Congo, Democratic Republic of the","111175.00"
"Senior Data Analyst","Kazakhstan","111175.00"
"Senior Data Analyst","Cyprus","111175.00"
"Senior Data Analyst","Colombia","111175.00"
"Data Analyst","Thailand","111095.83"
"Machine Learning Engineer","Poland","110825.40"
"Business Analyst","Spain","110780.00"
"Software Engineer","Netherlands","110433.33"
"Software Engineer","Djibouti","110000.00"
"Data Scientist","Romania","109557.14"
"Machine Learning Engineer","Luxembourg","109333.33"
"Senior Data Scientist","Switzerland","109275.00"
"Data Scientist","United Kingdom","109227.30"
"Machine Learning Engineer","Hungary","109150.00"
"Data Engineer","Mauritius","108400.00"
"Machine Learning Engineer","Brazil","108200.00"
"Data Analyst","Finland","108110.00"
"Data Scientist","Argentina","107745.93"
"Senior Data Analyst","Poland","107712.78"
"Data Scientist","Costa Rica","107646.75"
"Senior Data Analyst","Finland","107625.67"
"Data Engineer","Belgium","107451.77"
"Data Scientist","Brazil","107349.00"
"Software Engineer","Switzerland","107154.63"
"Data Scientist","Colombia","107094.44"
"Senior Data Analyst","Spain","107081.25"
"Cloud Engineer","Poland","107020.00"
"Data Engineer","Estonia","107000.00"
"Senior Data Analyst","United Kingdom","106762.86"
"Senior Data Analyst","Sudan","106697.74"
"Senior Data Engineer","Malaysia","106578.18"
"Machine Learning Engineer","Switzerland","106453.08"
"Data Scientist","Egypt","106152.38"
"Senior Data Analyst","Philippines","106052.83"
"Cloud Engineer","France","105968.00"
"Data Engineer","Netherlands","105787.05"
"Senior Data Analyst","India","105740.59"
"Data Engineer","Turkey","105439.00"
"Senior Data Analyst","United Arab Emirates","105337.50"
"Machine Learning Engineer","Croatia","105200.00"
"Data Analyst","Macedonia (FYROM)","105000.00"
"Data Scientist","Hong Kong","104633.33"
"Senior Data Analyst","Czechia","104550.00"
"Data Scientist","Sri Lanka","104323.33"
"Data Analyst","Nepal","103965.00"
"Senior Data Analyst","Italy","103816.67"
"Senior Data Analyst","France","103674.23"
"Software Engineer","Spain","103450.00"
"Software Engineer","United Kingdom","103280.00"
"Data Engineer","Croatia","103104.43"
"Machine Learning Engineer","Singapore","103078.25"
"Senior Data Analyst","South Korea","102800.00"
"Data Analyst","El Salvador","102500.00"
"Senior Data Analyst","Thailand","102184.00"
"Data Analyst","Lithuania","101712.50"
"Data Scientist","South Africa","101289.21"
"Senior Data Engineer","Finland","100886.50"
"Data Analyst","Ireland","100868.44"
"Senior Data Analyst","Vietnam","100512.50"
"Data Analyst","Armenia","100500.00"
"Data Analyst","Senegal","100500.00"
"Data Analyst","Uruguay","100500.00"
"Data Engineer","Serbia","100377.38"
"Software Engineer","Jamaica","100000.00"
"Cloud Engineer","Mexico","100000.00"
"Business Analyst","U.S. Virgin Islands","100000.00"
"Data Analyst","Netherlands","99924.24"
"Data Engineer","Greece","99711.48"
"Data Analyst","Germany","99659.83"
"Data Analyst","India","99392.29"
"Senior Data Engineer","Poland","99319.22"
"Data Scientist","Serbia","99300.00"
"Data Scientist","France","99103.37"
"Senior Data Analyst","Israel","98853.30"
"Data Engineer","Vietnam","98523.20"
"Senior Data Analyst","Turkey","98500.00"
"Machine Learning Engineer","Ukraine","98381.33"
"Data Analyst","Sweden","97993.56"
"Senior Data Analyst","Germany","97767.31"
"Data Scientist","Hungary","97755.77"
"Software Engineer","Czechia","97579.00"
"Data Scientist","Greece","97525.50"
"Data Engineer","Bangladesh","97444.00"
"Data Scientist","Thailand","96957.14"
"Data Scientist","Italy","96880.83"
"Data Engineer","Lebanon","96773.00"
"Senior Data Engineer","Ukraine","96773.00"
"Senior Data Engineer","Egypt","96773.00"
"Senior Data Engineer","Croatia","96773.00"
"Machine Learning Engineer","Australia","96700.00"
"Data Analyst","Belgium","96395.63"
"Software Engineer","Poland","96257.69"
"Senior Data Analyst","Singapore","96250.00"
"Data Analyst","Bulgaria","96092.50"
"Data Engineer","Pakistan","95924.71"
"Software Engineer","Costa Rica","95612.50"
"Data Engineer","Argentina","95466.60"
"Senior Data Engineer","Morocco","95366.67"
"Data Analyst","Taiwan","95306.00"
"Senior Data Analyst","Japan","95187.50"
"Senior Data Analyst","Malaysia","95187.50"
"Data Analyst","Pakistan","95187.50"
"Data Analyst","Costa Rica","95057.17"
"Senior Data Analyst","Puerto Rico","95000.00"
"Data Engineer","Ukraine","94866.67"
"Senior Data Engineer","Colombia","94475.00"
"Data Engineer","Philippines","94420.64"
"Data Analyst","Colombia","94215.67"
"Data Analyst","Singapore","94121.72"
"Software Engineer","Italy","94075.00"
"Data Analyst","Portugal","94011.14"
"Data Engineer","Finland","94009.50"
"Data Engineer","Indonesia","93673.89"
"Data Scientist","Spain","93170.43"
"Business Analyst","Nigeria","93037.50"
"Data Analyst","Luxembourg","92960.67"
"Senior Data Analyst","Indonesia","92562.50"
"Data Analyst","Israel","92331.26"
"Data Analyst","Kazakhstan","92218.00"
"Data Analyst","United Arab Emirates","91875.00"
"Business Analyst","United States","91681.29"
"Data Analyst","Spain","91588.61"
"Data Scientist","Taiwan","91460.88"
"Software Engineer","Germany","91073.30"
"Software Engineer","Greece","91025.00"
"Senior Data Scientist","Pakistan","90940.00"
"Data Analyst","Vietnam","90842.45"
"Data Scientist","Zambia","90670.00"
"Senior Data Analyst","Sweden","90638.83"
"Cloud Engineer","Spain","90351.00"
"Machine Learning Engineer","France","90256.81"
"Machine Learning Engineer","Thailand","90160.00"
"Senior Data Engineer","Puerto Rico","90000.00"
"Software Engineer","New Zealand","89900.00"
"Data Analyst","Mexico","89777.69"
"Data Analyst","United Kingdom","89427.89"
"Software Engineer","Slovenia","89416.67"
"Data Analyst","Cambodia","89204.00"
"Machine Learning Engineer","Serbia","89100.00"
"Software Engineer","Bulgaria","89100.00"
"Senior Data Analyst","Austria","89100.00"
"Data Engineer","Slovenia","89100.00"
"Software Engineer","Ireland","89100.00"
"Machine Learning Engineer","Slovakia","89100.00"
"Senior Data Scientist","Slovakia","89100.00"
"Senior Data Scientist","Serbia","89100.00"
"Cloud Engineer","Hungary","89100.00"
"Senior Data Engineer","Belgium","89100.00"
"Machine Learning Engineer","Bosnia and Herzegovina","89100.00"
"Cloud Engineer","Ukraine","89100.00"
"Senior Data Engineer","Lithuania","89100.00"
"Machine Learning Engineer","Austria","89100.00"
"Data Scientist","Australia","89077.93"
"Data Scientist","Vietnam","89066.67"
"Machine Learning Engineer","Italy","88889.33"
"Software Engineer","Puerto Rico","88779.75"
"Data Engineer","Egypt","88341.00"
"Data Analyst","Turkey","87856.40"
"Data Analyst","Hungary","87803.97"
"Senior Data Analyst","Hungary","87750.00"
"Business Analyst","Poland","87506.25"
"Data Analyst","Poland","87505.29"
"Business Analyst","South Africa","87050.00"
"Software Engineer","Slovakia","87037.50"
"Machine Learning Engineer","Armenia","87021.00"
"Data Analyst","Czechia","87010.00"
"Business Analyst","Canada","86696.36"
"Cloud Engineer","Bulgaria","86500.00"
"Cloud Engineer","Puerto Rico","86415.00"
"Data Analyst","Philippines","86218.24"
"Data Analyst","Mauritius","86166.00"
"Senior Data Analyst","South Africa","86050.00"
"Senior Data Scientist","Egypt","85999.33"
"Data Engineer","Puerto Rico","85950.94"
"Business Analyst","Netherlands","85800.00"
"Data Analyst","United States","85754.66"
"Data Analyst","Argentina","85436.38"
"Data Analyst","Japan","84835.71"
"Software Engineer","Pakistan","84800.00"
"Business Analyst","Guam","84776.75"
"Senior Data Engineer","Australia","84495.50"
"Data Analyst","Malaysia","84362.80"
"Data Analyst","Morocco","84337.50"
"Data Scientist","Uganda","84200.00"
"Machine Learning Engineer","Belgium","83861.29"
"Software Engineer","Israel","83403.70"
"Senior Data Scientist","Italy","83400.00"
"Business Analyst","Sweden","83342.86"
"Data Engineer","Hong Kong","83250.50"
"Data Analyst","Sudan","83161.34"
"Cloud Engineer","Sudan","82703.63"
"Business Analyst","Belgium","82620.00"
"Senior Data Analyst","Guam","82500.00"
"Business Analyst","India","82255.13"
"Data Scientist","Philippines","82192.65"
"Data Analyst","France","81970.07"
"Senior Data Analyst","New Zealand","81650.00"
"Data Analyst","Austria","81459.20"
"Data Engineer","Luxembourg","81361.00"
"Business Analyst","France","81158.33"
"Data Analyst","Nigeria","81033.33"
"Software Engineer","Malta","80850.00"
"Senior Data Scientist","Austria","80850.00"
"Business Analyst","Mexico","80850.00"
"Data Engineer","Malta","80850.00"
"Business Analyst","Latvia","80850.00"
"Business Analyst","Romania","80850.00"
"Senior Data Engineer","Philippines","80786.50"
"Data Scientist","Malaysia","80582.29"
"Data Engineer","Guatemala","80000.00"
"Software Engineer","Philippines","80000.00"
"Business Analyst","Germany","79531.82"
"Data Analyst","Denmark","79380.00"
"Data Analyst","Serbia","79303.50"
"Senior Data Engineer","Brunei","79200.00"
"Senior Data Analyst","Hong Kong","79200.00"
"Cloud Engineer","Thailand","79200.00"
"Cloud Engineer","South Korea","79200.00"
"Cloud Engineer","Israel","79200.00"
"Senior Data Scientist","Malaysia","79200.00"
"Business Analyst","Singapore","79200.00"
"Senior Data Scientist","Vietnam","79200.00"
"Business Analyst","Malaysia","79200.00"
"Business Analyst","Japan","79200.00"
"Software Engineer","Lebanon","79200.00"
"Software Engineer","United Arab Emirates","79200.00"
"Data Analyst","South Africa","79074.94"
"Software Engineer","Serbia","78600.00"
"Software Engineer","India","78498.11"
"Senior Data Scientist","Belgium","78300.00"
"Machine Learning Engineer","Czechia","77929.63"
"Business Analyst","Sudan","77785.56"
"Data Analyst","Estonia","77778.22"
"Data Analyst","Hong Kong","77548.43"
"Business Analyst","Costa Rica","77325.00"
"Software Engineer","Sri Lanka","77100.00"
"Data Analyst","Ukraine","77011.30"
"Data Analyst","Canada","76860.60"
"Senior Data Scientist","Turkey","76464.00"
"Data Analyst","Indonesia","76304.29"
"Data Analyst","Norway","75450.00"
"Data Analyst","Australia","75242.86"
"Data Analyst","Peru","75065.00"
"Cloud Engineer","Croatia","75000.00"
"Data Engineer","Taiwan","74868.83"
"Business Analyst","Vietnam","74400.00"
"Data Analyst","Italy","74393.73"
"Data Analyst","Romania","74323.00"
"Software Engineer","Singapore","74283.70"
"Business Analyst","Bulgaria","73987.50"
"Data Analyst","Brazil","72970.11"
"Business Analyst","Ukraine","72900.00"
"Data Engineer","Macedonia (FYROM)","72900.00"
"Software Engineer","Lithuania","72900.00"
"Data Analyst","Sri Lanka","72649.63"
"Machine Learning Engineer","Hong Kong","72000.00"
"Senior Data Scientist","United Arab Emirates","72000.00"
"Senior Data Scientist","Philippines","72000.00"
"Machine Learning Engineer","Philippines","72000.00"
"Data Analyst","New Zealand","71941.00"
"Data Scientist","Indonesia","71716.63"
"Data Engineer","Australia","71627.48"
"Machine Learning Engineer","Vietnam","71381.25"
"Senior Data Scientist","Colombia","71333.33"
"Machine Learning Engineer","Cyprus","71280.00"
"Business Analyst","Taiwan","71280.00"
"Data Scientist","Austria","71249.75"
"Business Analyst","Argentina","71100.00"
"Software Engineer","Hungary","70837.50"
"Business Analyst","Portugal","70150.00"
"Business Analyst","South Korea","70000.00"
"Data Analyst","Switzerland","69944.78"
"Software Engineer","Japan","69900.00"
"Software Engineer","South Korea","69880.00"
"Data Analyst","Kenya","69700.00"
"Data Engineer","Congo, Democratic Republic of the","69300.00"
"Data Engineer","Nigeria","69300.00"
"Data Scientist","Zimbabwe","69085.00"
"Software Engineer","Australia","69076.75"
"Machine Learning Engineer","Bangladesh","69000.00"
"Data Analyst","China","68590.50"
"Business Analyst","Thailand","68256.00"
"Data Analyst","Cyprus","68176.00"
"Data Scientist","Turkey","67798.00"
"Data Scientist","Puerto Rico","66372.67"
"Data Scientist","Jordan","66346.00"
"Business Analyst","Greece","66300.00"
"Software Engineer","Kenya","66000.00"
"Data Analyst","Guam","65920.00"
"Data Analyst","U.S. Virgin Islands","65180.00"
"Software Engineer","Estonia","65000.00"
"Machine Learning Engineer","Kazakhstan","64800.00"
"Cloud Engineer","Philippines","64800.00"
"Cloud Engineer","Kazakhstan","64800.00"
"Senior Data Scientist","Hong Kong","64800.00"
"Business Analyst","Israel","63000.00"
"Business Analyst","Estonia","63000.00"
"Business Analyst","Honduras","63000.00"
"Cloud Engineer","Australia","62266.67"
"Machine Learning Engineer","South Africa","61425.00"
"Business Analyst","Philippines","60300.00"
"Software Engineer","Belgium","58659.25"
"Data Analyst","Egypt","58616.00"
"Data Analyst","Puerto Rico","57797.03"
"Business Analyst","Australia","57766.67"
"Software Engineer","Thailand","57600.00"
"Senior Data Scientist","Guatemala","57500.00"
"Senior Data Scientist","Uruguay","57500.00"
"Cloud Engineer","Romania","56700.00"
"Cloud Engineer","Czechia","56700.00"
"Data Analyst","Latvia","56700.00"
"Business Analyst","Switzerland","56700.00"
"Business Analyst","Puerto Rico","55841.09"
"Data Analyst","Croatia","54892.25"
"Software Engineer","Taiwan","54799.57"
"Business Analyst","Indonesia","54600.00"
"Software Engineer","Nigeria","54000.00"
"Software Engineer","Ukraine","54000.00"
"Data Analyst","Montenegro","53014.00"
"Data Engineer","Kyrgyzstan","52500.00"
"Software Engineer","Turkey","51342.00"
"Senior Data Analyst","Costa Rica","51014.00"
"Software Engineer","Vietnam","50733.33"
"Senior Data Engineer","Pakistan","50500.00"
"Business Analyst","Pakistan","50400.00"
"Cloud Engineer","Singapore","50400.00"
"Machine Learning Engineer","Uruguay","50000.00"
"Data Analyst","Albania","49950.00"
"Business Analyst","United Kingdom","49560.00"
"Senior Data Analyst","Australia","46560.00"
